case,year,category,nationality,modeled_visas,n_runs,visas_issued,residual_model_minus_observed
catchall_60_65,2010,EB-5,China,1347.76,50,772,575.76
catchall_60_65,2010,EB-5,India,120.2,50,62,58.2
catchall_60_65,2010,EB-5,ROW,2042.36,50,1051,991.3599999999999
catchall_60_65,2011,EB-1,China,5007.44,50,3940,1067.4399999999996
catchall_60_65,2011,EB-1,India,7331.84,50,4563,2768.84
catchall_60_65,2011,EB-1,ROW,20348.82,50,16726,3622.8199999999997
catchall_60_65,2011,EB-2,China,8204.82,50,8257,-52.18000000000029
catchall_60_65,2011,EB-2,India,14013.82,50,23997,-9983.18
catchall_60_65,2011,EB-2,ROW,34262.0,50,34550,-288.0
catchall_60_65,2011,EB-3,China,2789.0,50,2542,247.0
catchall_60_65,2011,EB-3,India,2789.0,50,4002,-1213.0
catchall_60_65,2011,EB-3,ROW,34262.0,50,30881,3381.0
catchall_60_65,2011,EB-4,China,7.22,50,78,-70.78
catchall_60_65,2011,EB-4,India,157.34,50,444,-286.65999999999997
catchall_60_65,2011,EB-4,ROW,6216.44,50,5859,357.4399999999996
catchall_60_65,2011,EB-5,China,2630.88,50,2408,222.8800000000001
catchall_60_65,2011,EB-5,India,45.52,50,37,8.520000000000003
catchall_60_65,2011,EB-5,ROW,1235.86,50,1018,217.8599999999999
catchall_60_65,2012,EB-1,China,5569.2,50,6183,-613.8000000000002
catchall_60_65,2012,EB-1,India,8726.36,50,9506,-779.6399999999994
catchall_60_65,2012,EB-1,ROW,20817.22,50,23698,-2880.779999999999
catchall_60_65,2012,EB-2,China,3312.88,50,5858,-2545.12
catchall_60_65,2012,EB-2,India,12732.6,50,19726,-6993.4
catchall_60_65,2012,EB-2,ROW,35577.0,50,25009,10568.0
catchall_60_65,2012,EB-3,China,2896.0,50,2827,69.0
catchall_60_65,2012,EB-3,India,2896.0,50,2804,92.0
catchall_60_65,2012,EB-3,ROW,35577.0,50,33918,1659.0
catchall_60_65,2012,EB-4,China,14.24,50,117,-102.76
catchall_60_65,2012,EB-4,India,309.02,50,600,-290.98
catchall_60_65,2012,EB-4,ROW,7154.74,50,6761,393.7399999999998
catchall_60_65,2012,EB-5,China,7105.56,50,6124,981.5600000000004
catchall_60_65,2012,EB-5,India,98.62,50,76,22.620000000000005
catchall_60_65,2012,EB-5,ROW,1860.56,50,1440,420.55999999999995
catchall_60_65,2013,EB-1,China,6700.18,50,6249,451.1800000000003
catchall_60_65,2013,EB-1,India,11176.06,50,9640,1536.0599999999995
catchall_60_65,2013,EB-1,ROW,23221.64,50,23169,52.63999999999942
catchall_60_65,2013,EB-2,China,3229.0,50,3627,-398.0
catchall_60_65,2013,EB-2,India,16520.74,50,17193,-672.2599999999984
catchall_60_65,2013,EB-2,ROW,38740.66,50,42641,-3900.3399999999965
catchall_60_65,2013,EB-3,China,3229.0,50,3229,0.0
catchall_60_65,2013,EB-3,India,3229.0,50,7816,-4587.0
catchall_60_65,2013,EB-3,ROW,39665.0,50,32695,6970.0
catchall_60_65,2013,EB-4,China,11.92,50,78,-66.08
catchall_60_65,2013,EB-4,India,284.54,50,562,-277.46
catchall_60_65,2013,EB-4,ROW,6149.54,50,5806,343.53999999999996
catchall_60_65,2013,EB-5,China,7176.92,50,6895,281.9200000000001
catchall_60_65,2013,EB-5,India,99.8,50,87,12.799999999999997
catchall_60_65,2013,EB-5,ROW,1835.0,50,1582,253.0
catchall_60_65,2014,EB-1,China,7695.48,50,6167,1528.4799999999996
catchall_60_65,2014,EB-1,India,14981.18,50,12978,2003.1800000000003
catchall_60_65,2014,EB-1,ROW,23069.34,50,21463,1606.3400000000001
catchall_60_65,2014,EB-2,China,3030.0,50,3561,-531.0
catchall_60_65,2014,EB-2,India,3030.0,50,23527,-20497.0
catchall_60_65,2014,EB-2,ROW,37229.0,50,21983,15246.0
catchall_60_65,2014,EB-3,China,3030.0,50,3676,-646.0
catchall_60_65,2014,EB-3,India,3030.0,50,3526,-496.0
catchall_60_65,2014,EB-3,ROW,37229.0,50,35497,1732.0
catchall_60_65,2014,EB-4,China,15.78,50,109,-93.22
catchall_60_65,2014,EB-4,India,411.6,50,732,-320.4
catchall_60_65,2014,EB-4,ROW,7861.62,50,7448,413.6199999999999
catchall_60_65,2014,EB-5,China,7757.28,50,9128,-1370.7200000000003
catchall_60_65,2014,EB-5,India,351.12,50,96,255.12
catchall_60_65,2014,EB-5,ROW,2637.6,50,1468,1169.6
catchall_60_65,2015,EB-1,China,5231.62,50,6239,-1007.3800000000001
catchall_60_65,2015,EB-1,India,8741.28,50,12253,-3511.7199999999993
catchall_60_65,2015,EB-1,ROW,27197.1,50,23498,3699.0999999999985
catchall_60_65,2015,EB-2,China,2882.0,50,4202,-1320.0
catchall_60_65,2015,EB-2,India,2882.0,50,7235,-4353.0
catchall_60_65,2015,EB-2,ROW,35406.0,50,33042,2364.0
catchall_60_65,2015,EB-3,China,2882.0,50,3211,-329.0
catchall_60_65,2015,EB-3,India,2882.0,50,7026,-4144.0
catchall_60_65,2015,EB-3,ROW,35406.0,50,27213,8193.0
catchall_60_65,2015,EB-4,China,402.3,50,81,321.3
catchall_60_65,2015,EB-4,India,715.0,50,709,6.0
catchall_60_65,2015,EB-4,ROW,9103.7,50,9479,-375.2999999999993
catchall_60_65,2015,EB-5,China,4844.4,50,8156,-3311.6000000000004
catchall_60_65,2015,EB-5,India,714.98,50,111,603.98
catchall_60_65,2015,EB-5,ROW,4661.62,50,1497,3164.62
catchall_60_65,2016,EB-1,China,5107.18,50,6711,-1603.8199999999997
catchall_60_65,2016,EB-1,India,9005.82,50,10985,-1979.1800000000003
catchall_60_65,2016,EB-1,ROW,26027.0,50,26027,0.0
catchall_60_65,2016,EB-2,China,2810.0,50,2837,-27.0
catchall_60_65,2016,EB-2,India,2810.0,50,3930,-1120.0
catchall_60_65,2016,EB-2,ROW,34520.0,50,32344,2176.0
catchall_60_65,2016,EB-3,China,2810.0,50,2815,-5.0
catchall_60_65,2016,EB-3,India,2810.0,50,4617,-1807.0
catchall_60_65,2016,EB-3,ROW,34520.0,50,30108,4412.0
catchall_60_65,2016,EB-4,China,243.74,50,107,136.74
catchall_60_65,2016,EB-4,India,698.0,50,720,-22.0
catchall_60_65,2016,EB-4,ROW,9023.26,50,9202,-178.73999999999978
catchall_60_65,2016,EB-5,China,5011.56,50,7516,-2504.4399999999996
catchall_60_65,2016,EB-5,India,698.0,50,149,549.0
catchall_60_65,2016,EB-5,ROW,4255.44,50,2282,1973.4399999999996
catchall_60_65,2017,EB-1,China,5895.54,50,6337,-441.46000000000004
catchall_60_65,2017,EB-1,India,11622.46,50,13082,-1459.5400000000009
catchall_60_65,2017,EB-1,ROW,22409.0,50,22409,0.0
catchall_60_65,2017,EB-2,China,2795.0,50,2559,236.0
catchall_60_65,2017,EB-2,India,2795.0,50,2879,-84.0
catchall_60_65,2017,EB-2,ROW,34337.0,50,34523,-186.0
catchall_60_65,2017,EB-3,China,2795.0,50,2524,271.0
catchall_60_65,2017,EB-3,India,2795.0,50,6641,-3846.0
catchall_60_65,2017,EB-3,ROW,34336.0,50,28605,5731.0
catchall_60_65,2017,EB-4,China,162.84,50,116,46.84
catchall_60_65,2017,EB-4,India,694.0,50,790,-96.0
catchall_60_65,2017,EB-4,ROW,9055.16,50,9049,6.1599999999998545
catchall_60_65,2017,EB-5,China,2682.48,50,7567,-4884.52
catchall_60_65,2017,EB-5,India,694.0,50,174,520.0
catchall_60_65,2017,EB-5,ROW,6535.52,50,2349,4186.52
catchall_60_65,2018,EB-1,China,5957.04,50,6582,-624.96
catchall_60_65,2018,EB-1,India,11962.96,50,10967,995.9599999999991
catchall_60_65,2018,EB-1,ROW,21972.0,50,21972,0.0
catchall_60_65,2018,EB-2,China,2792.0,50,2681,111.0
catchall_60_65,2018,EB-2,India,2792.0,50,4096,-1304.0
catchall_60_65,2018,EB-2,ROW,34308.0,50,33864,444.0
catchall_60_65,2018,EB-3,China,2792.0,50,4392,-1600.0
catchall_60_65,2018,EB-3,India,2792.0,50,6112,-3320.0
catchall_60_65,2018,EB-3,ROW,34308.0,50,29462,4846.0
catchall_60_65,2018,EB-4,China,115.34,50,158,-42.66
catchall_60_65,2018,EB-4,India,693.0,50,764,-71.0
catchall_60_65,2018,EB-4,ROW,9095.66,50,8831,264.65999999999985
catchall_60_65,2018,EB-5,China,988.24,50,4642,-3653.76
