scenario,year,outcome,dimension,group,threshold_age,denominator,count_at_or_above,share_pct,maximum_age,case,role,seed
Capped,2040,still_waiting,category,EB-1,80,129256,0,0.0,65,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-2,60,1040816,25213,2.422426250172941,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-2,65,1040816,940,0.09031375382392277,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-2,70,1040816,18,0.0017294123072666063,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-2,75,1040816,1,9.607846151481146e-05,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-2,80,1040816,0,0.0,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-3,60,553261,8389,1.5162825501887898,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-3,65,553261,190,0.03434183866204196,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-3,70,553261,1,0.0001807465192739051,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-3,75,553261,0,0.0,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-3,80,553261,0,0.0,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-4,60,1023818,6761,0.6603712769261725,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-4,65,1023818,348,0.03399041626539092,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-4,70,1023818,4,0.0003906944398320795,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-4,75,1023818,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-4,80,1023818,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-5,60,26496,101,0.38118961352657005,62,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-5,65,26496,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-5,70,26496,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-5,75,26496,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,still_waiting,category,EB-5,80,26496,0,0.0,62,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,India,60,1076037,29367,2.7291812456263123,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,India,65,1076037,1015,0.09432761141113177,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,India,70,1076037,17,0.0015798713241273303,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,India,75,1076037,1,9.293360730160766e-05,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,India,80,1076037,0,0.0,77,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,China,60,341667,3796,1.1110233063187256,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,China,65,341667,132,0.0386341086496501,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,China,70,341667,2,0.000585365282570456,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,China,75,341667,0,0.0,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,China,80,341667,0,0.0,70,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,ROW,60,1355943,7718,0.5691979677611817,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,ROW,65,1355943,332,0.02448480503973987,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,ROW,70,1355943,4,0.00029499765108120324,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,ROW,75,1355943,0,0.0,71,catchall_60_65,primary,2014
Capped,2040,still_waiting,nationality,ROW,80,1355943,0,0.0,71,catchall_60_65,primary,2014
Uncapped,2024,converted,overall,All EB,60,76698,298,0.38853685884899214,63,catchall_60_65,primary,2015
Uncapped,2024,converted,overall,All EB,65,76698,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,overall,All EB,70,76698,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,overall,All EB,75,76698,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,overall,All EB,80,76698,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-1,60,20292,0,0.0,57,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-1,65,20292,0,0.0,57,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-1,70,20292,0,0.0,57,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-1,75,20292,0,0.0,57,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-1,80,20292,0,0.0,57,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-2,60,21891,18,0.08222557215293956,63,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-2,65,21891,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-2,70,21891,0,0.0,63,catchall_60_65,primary,2015
Uncapped,2024,converted,category,EB-2,75,21891,0,0.0,63,catchall_60_65,primary,2015
