scenario,entry_year,nationality,eb_category,observation_end_year,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
Uncapped,2021,China,EB-5,2061,total_created,2,805.5,3.5355339059327378,2.5,,,2,0,0
Uncapped,2021,ROW,EB-1,2061,total_created,2,5125.5,36.062445840513924,25.499999999999996,,,2,0,0
Uncapped,2021,ROW,EB-2,2061,total_created,2,10407.5,86.97413408594535,61.5,,,2,0,0
Uncapped,2021,ROW,EB-3,2061,total_created,2,11593.5,102.5304832720494,72.5,,,2,0,0
Uncapped,2021,ROW,EB-4,2061,total_created,2,9945.0,14.142135623730951,10.0,,,2,0,0
Uncapped,2021,ROW,EB-5,2061,total_created,2,558.0,29.698484809834994,20.999999999999996,,,2,0,0
Uncapped,2022,India,EB-1,2061,total_created,2,4353.0,0.0,0.0,,,2,0,0
Uncapped,2022,India,EB-2,2061,total_created,2,21232.0,200.8183258569795,142.0,,,2,0,0
Uncapped,2022,India,EB-3,2061,total_created,2,7722.5,28.991378028648448,20.5,,,2,0,0
Uncapped,2022,India,EB-4,2061,total_created,2,1092.5,20.506096654409877,14.499999999999998,,,2,0,0
Uncapped,2022,India,EB-5,2061,total_created,2,55.5,4.949747468305833,3.4999999999999996,,,2,0,0
Uncapped,2022,China,EB-1,2061,total_created,2,1334.5,17.67766952966369,12.5,,,2,0,0
Uncapped,2022,China,EB-2,2061,total_created,2,2126.0,73.53910524340094,51.99999999999999,,,2,0,0
Uncapped,2022,China,EB-3,2061,total_created,2,1277.5,31.81980515339464,22.5,,,2,0,0
Uncapped,2022,China,EB-4,2061,total_created,2,37.0,8.48528137423857,5.999999999999999,,,2,0,0
Uncapped,2022,China,EB-5,2061,total_created,2,171.5,19.091883092036785,13.5,,,2,0,0
Uncapped,2022,ROW,EB-1,2061,total_created,2,6190.5,105.35891039679558,74.5,,,2,0,0
Uncapped,2022,ROW,EB-2,2061,total_created,2,12799.0,86.2670273047588,60.99999999999999,,,2,0,0
Uncapped,2022,ROW,EB-3,2061,total_created,2,14687.5,17.67766952966369,12.5,,,2,0,0
Uncapped,2022,ROW,EB-4,2061,total_created,2,15972.0,142.8355697996826,100.99999999999999,,,2,0,0
Uncapped,2022,ROW,EB-5,2061,total_created,2,146.5,0.7071067811865476,0.5,,,2,0,0
Uncapped,2023,India,EB-1,2061,total_created,2,5880.0,41.012193308819754,28.999999999999996,,,2,0,0
Uncapped,2023,India,EB-2,2061,total_created,2,18438.5,58.68986283848344,41.49999999999999,,,2,0,0
Uncapped,2023,India,EB-3,2061,total_created,2,5968.5,64.34671708797582,45.49999999999999,,,2,0,0
Uncapped,2023,India,EB-4,2061,total_created,2,1100.0,73.53910524340094,51.99999999999999,,,2,0,0
Uncapped,2023,India,EB-5,2061,total_created,2,271.5,2.1213203435596424,1.4999999999999998,,,2,0,0
Uncapped,2023,China,EB-1,2061,total_created,2,2117.0,96.16652224137046,67.99999999999999,,,2,0,0
Uncapped,2023,China,EB-2,2061,total_created,2,2682.0,22.627416997969522,16.0,,,2,0,0
Uncapped,2023,China,EB-3,2061,total_created,2,1071.5,9.192388155425117,6.499999999999999,,,2,0,0
Uncapped,2023,China,EB-4,2061,total_created,2,18.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2023,China,EB-5,2061,total_created,2,657.5,70.0035713374682,49.49999999999999,,,2,0,0
Uncapped,2023,ROW,EB-1,2061,total_created,2,8309.5,86.97413408594535,61.5,,,2,0,0
Uncapped,2023,ROW,EB-2,2061,total_created,2,16260.5,24.748737341529164,17.5,,,2,0,0
Uncapped,2023,ROW,EB-3,2061,total_created,2,18694.0,5.656854249492381,4.0,,,2,0,0
Uncapped,2023,ROW,EB-4,2061,total_created,2,10699.5,48.79036790187178,34.5,,,2,0,0
Uncapped,2023,ROW,EB-5,2061,total_created,2,469.5,16.263455967290593,11.5,,,2,0,0
Uncapped,2024,India,EB-1,2061,total_created,2,4694.0,65.05382386916237,46.0,,,2,0,0
Uncapped,2024,India,EB-2,2061,total_created,2,18177.0,15.556349186104045,10.999999999999998,,,2,0,0
Uncapped,2024,India,EB-3,2061,total_created,2,4687.5,3.5355339059327378,2.5,,,2,0,0
Uncapped,2024,India,EB-4,2061,total_created,2,944.0,18.384776310850235,12.999999999999998,,,2,0,0
Uncapped,2024,India,EB-5,2061,total_created,2,725.0,4.242640687119285,2.9999999999999996,,,2,0,0
Uncapped,2024,China,EB-1,2061,total_created,2,1856.5,74.24621202458749,52.5,,,2,0,0
Uncapped,2024,China,EB-2,2061,total_created,2,2472.5,88.38834764831844,62.5,,,2,0,0
Uncapped,2024,China,EB-3,2061,total_created,2,2311.5,2.1213203435596424,1.4999999999999998,,,2,0,0
Uncapped,2024,China,EB-4,2061,total_created,2,48.0,15.556349186104045,10.999999999999998,,,2,0,0
Uncapped,2024,China,EB-5,2061,total_created,2,1562.0,26.870057685088806,19.0,,,2,0,0
