annual_principal_exits,annual_visas,category,nationality,principal_backlog,scenario,year,case,role,seed
6177,3882,EB-2,India,360322,Uncapped,2023,catchall_60_65,primary,2014
1595,3882,EB-2,China,63414,Uncapped,2023,catchall_60_65,primary,2014
1071,47699,EB-2,ROW,40171,Uncapped,2023,catchall_60_65,primary,2014
3995,3882,EB-3,India,168744,Uncapped,2023,catchall_60_65,primary,2014
1371,3882,EB-3,China,36405,Uncapped,2023,catchall_60_65,primary,2014
2389,47699,EB-3,ROW,59243,Uncapped,2023,catchall_60_65,primary,2014
237,964,EB-4,India,6276,Uncapped,2023,catchall_60_65,primary,2014
0,185,EB-4,China,0,Uncapped,2023,catchall_60_65,primary,2014
12127,12620,EB-4,ROW,231861,Uncapped,2023,catchall_60_65,primary,2014
8,964,EB-5,India,1466,Uncapped,2023,catchall_60_65,primary,2014
268,11292,EB-5,China,17965,Uncapped,2023,catchall_60_65,primary,2014
0,1513,EB-5,ROW,0,Uncapped,2023,catchall_60_65,primary,2014
171,12503,EB-1,India,18661,Uncapped,2024,catchall_60_65,primary,2014
153,5672,EB-1,China,12800,Uncapped,2024,catchall_60_65,primary,2014
0,29700,EB-1,ROW,0,Uncapped,2024,catchall_60_65,primary,2014
6423,3351,EB-2,India,391142,Uncapped,2024,catchall_60_65,primary,2014
1857,3351,EB-2,China,71764,Uncapped,2024,catchall_60_65,primary,2014
1134,41173,EB-2,ROW,44505,Uncapped,2024,catchall_60_65,primary,2014
4150,3351,EB-3,India,173239,Uncapped,2024,catchall_60_65,primary,2014
1468,3351,EB-3,China,40454,Uncapped,2024,catchall_60_65,primary,2014
2948,41172,EB-3,ROW,74229,Uncapped,2024,catchall_60_65,primary,2014
287,832,EB-4,India,7289,Uncapped,2024,catchall_60_65,primary,2014
0,308,EB-4,China,0,Uncapped,2024,catchall_60_65,primary,2014
15032,10745,EB-4,ROW,294666,Uncapped,2024,catchall_60_65,primary,2014
19,832,EB-5,India,2152,Uncapped,2024,catchall_60_65,primary,2014
256,7213,EB-5,China,17601,Uncapped,2024,catchall_60_65,primary,2014
0,3840,EB-5,ROW,0,Uncapped,2024,catchall_60_65,primary,2014
124,30491,EB-1,India,14746,Uncapped,2025,catchall_60_65,primary,2014
118,17384,EB-1,China,10497,Uncapped,2025,catchall_60_65,primary,2014
164,0,EB-1,ROW,12199,Uncapped,2025,catchall_60_65,primary,2014
6556,47875,EB-2,India,401988,Uncapped,2025,catchall_60_65,primary,2014
1991,0,EB-2,China,81985,Uncapped,2025,catchall_60_65,primary,2014
1771,0,EB-2,ROW,66647,Uncapped,2025,catchall_60_65,primary,2014
3714,47874,EB-3,India,157692,Uncapped,2025,catchall_60_65,primary,2014
1697,0,EB-3,China,45924,Uncapped,2025,catchall_60_65,primary,2014
4197,0,EB-3,ROW,107790,Uncapped,2025,catchall_60_65,primary,2014
360,0,EB-4,India,8555,Uncapped,2025,catchall_60_65,primary,2014
8,0,EB-4,China,194,Uncapped,2025,catchall_60_65,primary,2014
18114,11885,EB-4,ROW,353627,Uncapped,2025,catchall_60_65,primary,2014
22,0,EB-5,India,3140,Uncapped,2025,catchall_60_65,primary,2014
211,11885,EB-5,China,15352,Uncapped,2025,catchall_60_65,primary,2014
8,0,EB-5,ROW,1428,Uncapped,2025,catchall_60_65,primary,2014
138,22616,EB-1,India,13972,Uncapped,2026,catchall_60_65,primary,2014
122,13860,EB-1,China,9839,Uncapped,2026,catchall_60_65,primary,2014
240,11399,EB-1,ROW,19890,Uncapped,2026,catchall_60_65,primary,2014
6725,47875,EB-2,India,412741,Uncapped,2026,catchall_60_65,primary,2014
2309,0,EB-2,China,92130,Uncapped,2026,catchall_60_65,primary,2014
2281,0,EB-2,ROW,88016,Uncapped,2026,catchall_60_65,primary,2014
3201,47874,EB-3,India,142838,Uncapped,2026,catchall_60_65,primary,2014
1898,0,EB-3,China,51385,Uncapped,2026,catchall_60_65,primary,2014
5581,0,EB-3,ROW,139669,Uncapped,2026,catchall_60_65,primary,2014
398,192,EB-4,India,9706,Uncapped,2026,catchall_60_65,primary,2014
13,0,EB-4,China,381,Uncapped,2026,catchall_60_65,primary,2014
20980,11693,EB-4,ROW,409524,Uncapped,2026,catchall_60_65,primary,2014
16,89,EB-5,India,4107,Uncapped,2026,catchall_60_65,primary,2014
102,11796,EB-5,China,13100,Uncapped,2026,catchall_60_65,primary,2014
26,0,EB-5,ROW,2924,Uncapped,2026,catchall_60_65,primary,2014
180,16035,EB-1,India,15891,Uncapped,2027,catchall_60_65,primary,2014
147,9783,EB-1,China,11151,Uncapped,2027,catchall_60_65,primary,2014
309,22057,EB-1,ROW,22862,Uncapped,2027,catchall_60_65,primary,2014
6770,47730,EB-2,India,423578,Uncapped,2027,catchall_60_65,primary,2014
2497,145,EB-2,China,101707,Uncapped,2027,catchall_60_65,primary,2014
3026,0,EB-2,ROW,108657,Uncapped,2027,catchall_60_65,primary,2014
2917,39987,EB-3,India,132509,Uncapped,2027,catchall_60_65,primary,2014
1993,7887,EB-3,China,52313,Uncapped,2027,catchall_60_65,primary,2014
6839,0,EB-3,ROW,170678,Uncapped,2027,catchall_60_65,primary,2014
422,439,EB-4,India,10670,Uncapped,2027,catchall_60_65,primary,2014
24,0,EB-4,China,579,Uncapped,2027,catchall_60_65,primary,2014
23712,11446,EB-4,ROW,462898,Uncapped,2027,catchall_60_65,primary,2014
18,2377,EB-5,India,4188,Uncapped,2027,catchall_60_65,primary,2014
95,9508,EB-5,China,11899,Uncapped,2027,catchall_60_65,primary,2014
46,0,EB-5,ROW,4363,Uncapped,2027,catchall_60_65,primary,2014
151,15831,EB-1,India,17971,Uncapped,2028,catchall_60_65,primary,2014
179,9477,EB-1,China,12705,Uncapped,2028,catchall_60_65,primary,2014
323,22567,EB-1,ROW,25512,Uncapped,2028,catchall_60_65,primary,2014
6974,47519,EB-2,India,434124,Uncapped,2028,catchall_60_65,primary,2014
2786,356,EB-2,China,110999,Uncapped,2028,catchall_60_65,primary,2014
3445,0,EB-2,ROW,128895,Uncapped,2028,catchall_60_65,primary,2014
2863,35528,EB-3,India,124415,Uncapped,2028,catchall_60_65,primary,2014
1931,12346,EB-3,China,50960,Uncapped,2028,catchall_60_65,primary,2014
