case,role,scenario,year,outcome,dimension,group,threshold_age,quantity,n,mean,sd_across_runs,mcse_mean,mean_ci95_low,mean_ci95_high,positive_runs,zero_runs,negative_runs
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-2,70,share_pct,1,0.0002214461763995952,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-2,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-2,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-3,60,share_pct,1,0.1278010236370451,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-3,65,share_pct,1,0.0018432839947650735,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-3,70,share_pct,1,0.00040961866550334963,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-3,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-3,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-4,60,share_pct,1,0.07211954144584931,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-4,65,share_pct,1,0.002441282079972332,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-4,70,share_pct,1,0.00010172008666551384,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-4,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-4,80,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-5,60,share_pct,1,0.019664716582272257,,,,,1,0,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-5,65,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-5,70,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-5,75,share_pct,1,0.0,,,,,0,1,0
catchall_55_60,sensitivity,Capped,2040,still_waiting,category,EB-5,80,share_pct,1,0.0,,,,,0,1,0
