category,nationality,MARST,sample_principals,sample_parents,sample_children,weighted_principals,weighted_children_parent_weights,weighted_parent_pct,children_per_100_principals,kish_effective_principals,kish_effective_parents
Unique proxy union (not EB mix),China,2,139,25,28,15556.0,2998.0,17.37593211622525,19.272306505528412,97.58665277271452,19.16588800369351
Unique proxy union (not EB mix),China,3,11,2,3,1266.0,263.0,15.797788309636651,20.774091627172197,10.20902709657694,1.7591696719148562
Unique proxy union (not EB mix),China,4,45,11,13,5395.0,1300.0,20.72289156626506,24.096385542168676,29.716248155881015,9.589572048917463
Unique proxy union (not EB mix),China,6,647,0,0,78850.0,0.0,0.0,0.0,416.86021243816316,0.0
Unique proxy union (not EB mix),ROW,1,8312,4141,7257,885889.0,754232.0,48.629455834760336,85.13843156422531,5476.577484193364,2723.3815904199937
Unique proxy union (not EB mix),ROW,2,744,67,92,91968.0,11563.0,8.955288796102993,12.57285142658316,486.6429863761347,50.22732126170127
Unique proxy union (not EB mix),ROW,3,131,23,35,17456.0,4261.0,15.433088909257561,24.40994500458295,73.71209334144852,13.943263555883437
Unique proxy union (not EB mix),ROW,4,418,51,74,53462.0,10399.0,13.207511877595302,19.451198982454827,268.6292286856349,33.00705718638056
Unique proxy union (not EB mix),ROW,5,25,7,17,2156.0,1108.0,19.944341372912803,51.391465677179966,19.00103010186563,6.374982760998483
Unique proxy union (not EB mix),ROW,6,3176,39,50,391474.0,6430.0,1.3791465078140566,1.642510102842079,1992.6216397727828,19.789795382163984
